"unitid","institution name","year","C2024_A.First or Second Major","C2024_A.CIP Code -  2020 Classification","CipTitle","C2024_A.Award Level code","C2024_A.Grand total","IDX_C"
"110705","University of California-Santa Barbara","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","141","-2"
"110705","University of California-Santa Barbara","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Master's degree","1","-2"
"110705","University of California-Santa Barbara","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Doctor's degree - research/scholarship","16","-2"
"110705","University of California-Santa Barbara","2024","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","32","-2"
"110705","University of California-Santa Barbara","2024","First major","'16.0905'","Spanish Language and Literature","Master's degree","0","-2"
"110705","University of California-Santa Barbara","2024","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","42","-2"
"110705","University of California-Santa Barbara","2024","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","14","-2"
"110714","University of California-Santa Cruz","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","181","-2"
"110714","University of California-Santa Cruz","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Master's degree","16","-2"
"110714","University of California-Santa Cruz","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Doctor's degree - research/scholarship","8","-2"
"110714","University of California-Santa Cruz","2024","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","6","-2"
"110714","University of California-Santa Cruz","2024","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","34","-2"
"110714","University of California-Santa Cruz","2024","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","11","-2"
"111948","Chapman University","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","10","-2"
"111948","Chapman University","2024","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","4","-2"
"111948","Chapman University","2024","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","3","-2"
"111948","Chapman University","2024","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","3","-2"
"112075","Concordia University-Irvine","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","1","-2"
