"unitid","institution name","year","C2015_A.First or Second Major","C2015_A.CIP Code -  2010 Classification","CipTitle","C2015_A.Award Level code","C2015_A_RV.Grand total","IDX_C"
"110413","California Lutheran University","2015","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","4","-2"
"110413","California Lutheran University","2015","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","4","-2"
"110422","California Polytechnic State University-San Luis Obispo","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","15","-2"
"110422","California Polytechnic State University-San Luis Obispo","2015","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","1","-2"
"110486","California State University-Bakersfield","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","13","-2"
"110486","California State University-Bakersfield","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Master's degree","1","-2"
"110486","California State University-Bakersfield","2015","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","13","-2"
"110486","California State University-Bakersfield","2015","First major","'16.0905'","Spanish Language and Literature","Master's degree","1","-2"
"110486","California State University-Bakersfield","2015","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","6","-2"
"110486","California State University-Bakersfield","2015","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","6","-2"
"110495","California State University-Stanislaus","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","17","-2"
"110495","California State University-Stanislaus","2015","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","17","-2"
"110495","California State University-Stanislaus","2015","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","2","-2"
"110495","California State University-Stanislaus","2015","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","2","-2"
"110510","California State University-San Bernardino","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","33","-2"
"110510","California State University-San Bernardino","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Master's degree","4","-2"
"110510","California State University-San Bernardino","2015","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","25","-2"
"110510","California State University-San Bernardino","2015","First major","'16.0905'","Spanish Language and Literature","Master's degree","4","-2"
"110510","California State University-San Bernardino","2015","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","17","-2"
"110510","California State University-San Bernardino","2015","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","10","-2"
"110529","California State Polytechnic University-Pomona","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","10","-2"
"110529","California State Polytechnic University-Pomona","2015","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","10","-2"
"110529","California State Polytechnic University-Pomona","2015","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","0","-2"
"110529","California State Polytechnic University-Pomona","2015","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","0","-2"
"110538","California State University-Chico","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","22","-2"
"110538","California State University-Chico","2015","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","17","-2"
"110538","California State University-Chico","2015","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","26","-2"
"110538","California State University-Chico","2015","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","17","-2"
"110547","California State University-Dominguez Hills","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","12","-2"
"110547","California State University-Dominguez Hills","2015","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","12","-2"
"110547","California State University-Dominguez Hills","2015","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","0","-2"
"110547","California State University-Dominguez Hills","2015","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","0","-2"
"110556","California State University-Fresno","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","58","-2"
"110556","California State University-Fresno","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Master's degree","23","-2"
"110556","California State University-Fresno","2015","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","36","-2"
"110556","California State University-Fresno","2015","First major","'16.0905'","Spanish Language and Literature","Master's degree","6","-2"
"110556","California State University-Fresno","2015","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","14","-2"
"110556","California State University-Fresno","2015","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","9","-2"
"110565","California State University-Fullerton","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","54","-2"
"110565","California State University-Fullerton","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Master's degree","29","-2"
"110565","California State University-Fullerton","2015","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","23","-2"
"110565","California State University-Fullerton","2015","First major","'16.0905'","Spanish Language and Literature","Master's degree","9","-2"
"110565","California State University-Fullerton","2015","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","12","-2"
"110565","California State University-Fullerton","2015","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","4","-2"
"110574","California State University-East Bay","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","7","-2"
"110574","California State University-East Bay","2015","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","7","-2"
"110574","California State University-East Bay","2015","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","4","-2"
"110574","California State University-East Bay","2015","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","3","-2"
"110583","California State University-Long Beach","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","129","-2"
"110583","California State University-Long Beach","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Master's degree","40","-2"
"110583","California State University-Long Beach","2015","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","48","-2"
"110583","California State University-Long Beach","2015","First major","'16.0905'","Spanish Language and Literature","Master's degree","12","-2"
"110583","California State University-Long Beach","2015","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","11","-2"
"110583","California State University-Long Beach","2015","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","2","-2"
"110592","California State University-Los Angeles","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","28","-2"
"110592","California State University-Los Angeles","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Master's degree","3","-2"
"110592","California State University-Los Angeles","2015","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","20","-2"
"110592","California State University-Los Angeles","2015","First major","'16.0905'","Spanish Language and Literature","Master's degree","3","-2"
"110592","California State University-Los Angeles","2015","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","0","-2"
"110608","California State University-Northridge","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","51","-2"
"110608","California State University-Northridge","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Master's degree","13","-2"
"110608","California State University-Northridge","2015","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","24","-2"
"110608","California State University-Northridge","2015","First major","'16.0905'","Spanish Language and Literature","Master's degree","3","-2"
"110608","California State University-Northridge","2015","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","9","-2"
"110608","California State University-Northridge","2015","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","2","-2"
"110617","California State University-Sacramento","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","29","-2"
"110617","California State University-Sacramento","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Master's degree","10","-2"
"110617","California State University-Sacramento","2015","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","27","-2"
"110617","California State University-Sacramento","2015","First major","'16.0905'","Spanish Language and Literature","Master's degree","10","-2"
"110617","California State University-Sacramento","2015","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","4","-2"
"110617","California State University-Sacramento","2015","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","3","-2"
"110635","University of California-Berkeley","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","188","-2"
"110635","University of California-Berkeley","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Master's degree","19","-2"
"110635","University of California-Berkeley","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Doctor's degree - research/scholarship","38","-2"
"110635","University of California-Berkeley","2015","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","67","-2"
"110644","University of California-Davis","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","153","-2"
"110644","University of California-Davis","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Master's degree","22","-2"
"110644","University of California-Davis","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Doctor's degree - research/scholarship","21","-2"
"110644","University of California-Davis","2015","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","58","-2"
"110644","University of California-Davis","2015","First major","'16.0905'","Spanish Language and Literature","Master's degree","4","-2"
"110644","University of California-Davis","2015","First major","'16.0905'","Spanish Language and Literature","Doctor's degree - research/scholarship","8","-2"
"110644","University of California-Davis","2015","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","98","-2"
"110644","University of California-Davis","2015","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","40","-2"
"110653","University of California-Irvine","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","86","-2"
