"unitid","institution name","year","C2019_A.First or Second Major","C2019_A.CIP Code -  2010 Classification","CipTitle","C2019_A.Award Level code","C2019_A_RV.Grand total","IDX_C"
"179867","Washington University in St Louis","2019","First major","'13'","Education","Master's degree","7","-2"
"179867","Washington University in St Louis","2019","First major","'13'","Education","Doctor's degree - research/scholarship","4","-2"
"179867","Washington University in St Louis","2019","Second major","'13'","Education","Bachelor's degree","11","-2"
"179894","Webster University","2019","First major","'13'","Education","Bachelor's degree","33","-2"
"179894","Webster University","2019","First major","'13'","Education","Master's degree","165","-2"
"179894","Webster University","2019","First major","'13'","Education","Doctor's degree - research/scholarship","5","-2"
"179946","Westminster College","2019","First major","'13'","Education","Bachelor's degree","8","-2"
"179946","Westminster College","2019","Second major","'13'","Education","Bachelor's degree","1","-2"
"179955","William Jewell College","2019","First major","'13'","Education","Bachelor's degree","8","-2"
"179955","William Jewell College","2019","First major","'13'","Education","Master's degree","0","-2"
"179955","William Jewell College","2019","Second major","'13'","Education","Bachelor's degree","4","-2"
"179964","William Woods University","2019","First major","'13'","Education","Bachelor's degree","20","-2"
"179964","William Woods University","2019","First major","'13'","Education","Master's degree","474","-2"
"179964","William Woods University","2019","First major","'13'","Education","Doctor's degree - research/scholarship","21","-2"
"180106","Carroll College","2019","First major","'13'","Education","Bachelor's degree","25","-2"
"180179","Montana State University Billings","2019","First major","'13'","Education","Bachelor's degree","63","-2"
"180179","Montana State University Billings","2019","First major","'13'","Education","Master's degree","59","-2"
"180179","Montana State University Billings","2019","Second major","'13'","Education","Bachelor's degree","8","-2"
"180258","University of Providence","2019","First major","'13'","Education","Bachelor's degree","4","-2"
"180461","Montana State University","2019","First major","'13'","Education","Bachelor's degree","150","-2"
"180461","Montana State University","2019","First major","'13'","Education","Master's degree","130","-2"
"180461","Montana State University","2019","First major","'13'","Education","Doctor's degree - research/scholarship","11","-2"
"180489","The University of Montana","2019","First major","'13'","Education","Bachelor's degree","102","-2"
"180489","The University of Montana","2019","First major","'13'","Education","Master's degree","101","-2"
"180489","The University of Montana","2019","First major","'13'","Education","Doctor's degree - research/scholarship","4","-2"
"180489","The University of Montana","2019","Second major","'13'","Education","Master's degree","17","-2"
"180522","Montana State University-Northern","2019","First major","'13'","Education","Bachelor's degree","11","-2"
"180522","Montana State University-Northern","2019","First major","'13'","Education","Master's degree","16","-2"
"180595","Rocky Mountain College","2019","First major","'13'","Education","Bachelor's degree","17","-2"
"180595","Rocky Mountain College","2019","First major","'13'","Education","Master's degree","18","-2"
"180647","Salish Kootenai College","2019","First major","'13'","Education","Bachelor's degree","17","-2"
"180692","The University of Montana-Western","2019","First major","'13'","Education","Bachelor's degree","122","-2"
"180814","Bellevue University","2019","First major","'13'","Education","Bachelor's degree","18","-2"
"180832","Clarkson College","2019","First major","'13'","Education","Doctor's degree - research/scholarship","1","-2"
"180832","Clarkson College","2019","First major","'13'","Education","Doctor's degree - professional practice","0","-2"
"180878","Bryan College of Health Sciences","2019","First major","'13'","Education","Doctor's degree - research/scholarship","4","-2"
"180948","Chadron State College","2019","First major","'13'","Education","Bachelor's degree","94","-2"
"180948","Chadron State College","2019","First major","'13'","Education","Master's degree","69","-2"
"180948","Chadron State College","2019","Second major","'13'","Education","Bachelor's degree","5","-2"
"180984","Concordia University-Nebraska","2019","First major","'13'","Education","Bachelor's degree","112","-2"
"180984","Concordia University-Nebraska","2019","First major","'13'","Education","Master's degree","168","-2"
"180984","Concordia University-Nebraska","2019","First major","'13.1306'","Foreign Language Teacher Education","Bachelor's degree","0","-2"
"180984","Concordia University-Nebraska","2019","Second major","'13'","Education","Bachelor's degree","5","-2"
"181002","Creighton University","2019","First major","'13'","Education","Bachelor's degree","8","-2"
"181002","Creighton University","2019","First major","'13'","Education","Master's degree","89","-2"
"181002","Creighton University","2019","First major","'13'","Education","Doctor's degree - professional practice","82","-2"
"181002","Creighton University","2019","Second major","'13'","Education","Bachelor's degree","1","-2"
"181020","Doane University","2019","First major","'13'","Education","Bachelor's degree","48","-2"
"181020","Doane University","2019","First major","'13'","Education","Master's degree","247","-2"
"181020","Doane University","2019","First major","'13'","Education","Doctor's degree - research/scholarship","9","-2"
"181127","Hastings College","2019","First major","'13'","Education","Bachelor's degree","37","-2"
"181127","Hastings College","2019","First major","'13'","Education","Master's degree","12","-2"
"181127","Hastings College","2019","Second major","'13'","Education","Bachelor's degree","6","-2"
"181127","Hastings College","2019","Second major","'13'","Education","Master's degree","1","-2"
"181215","University of Nebraska at Kearney","2019","First major","'13'","Education","Bachelor's degree","145","-2"
"181215","University of Nebraska at Kearney","2019","First major","'13'","Education","Master's degree","265","-2"
"181215","University of Nebraska at Kearney","2019","First major","'13.1306'","Foreign Language Teacher Education","Bachelor's degree","0","-2"
"181215","University of Nebraska at Kearney","2019","Second major","'13'","Education","Bachelor's degree","36","-2"
"181215","University of Nebraska at Kearney","2019","Second major","'13.1306'","Foreign Language Teacher Education","Bachelor's degree","1","-2"
"181297","Nebraska Methodist College of Nursing & Allied Health","2019","First major","'13'","Education","Doctor's degree - other","0","-2"
"181330","Midland University","2019","First major","'13'","Education","Bachelor's degree","50","-2"
"181330","Midland University","2019","First major","'13'","Education","Master's degree","19","-2"
"181394","University of Nebraska at Omaha","2019","First major","'13'","Education","Bachelor's degree","172","-2"
"181394","University of Nebraska at Omaha","2019","First major","'13'","Education","Master's degree","188","-2"
"181394","University of Nebraska at Omaha","2019","First major","'13'","Education","Doctor's degree - research/scholarship","13","-2"
